recall,precision
9.938900203665987920e-01,1.819537658463832863e-01
9.938900203665987920e-01,1.820216337187616495e-01
9.938900203665987920e-01,1.820895522388059629e-01
9.938900203665987920e-01,1.821575214632325523e-01
9.938900203665987920e-01,1.822255414488424263e-01
9.938900203665987920e-01,1.822936122525214697e-01
9.938900203665987920e-01,1.823617339312406660e-01
9.938900203665987920e-01,1.824299065420560695e-01
9.938900203665987920e-01,1.824981301421091939e-01
9.938900203665987920e-01,1.825664047886270125e-01
9.938900203665987920e-01,1.826347305389221520e-01
9.938900203665987920e-01,1.827031074503931152e-01
9.938900203665987920e-01,1.827715355805243358e-01
9.938900203665987920e-01,1.828400149868864843e-01
9.938900203665987920e-01,1.829085457271364401e-01
9.938900203665987920e-01,1.829771278590176242e-01
9.938900203665987920e-01,1.830457614403600830e-01
